Q,A
import org.springframework.web.bind.annotation.RestController,;
import org.springframework.web.bind.annotation.RestController;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,multipart
import org.springframework.web.multipart,.
import org.springframework.web.multipart.,MultipartFile
import org.springframework.web.multipart.MultipartFile,;
import org.springframework.web.multipart.MultipartFile;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,config
import com.sltg.common.config,.
import com.sltg.common.config.,SltgSysConfig
import com.sltg.common.config.SltgSysConfig,;
import com.sltg.common.config.SltgSysConfig;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,AjaxResult
import com.sltg.common.core.domain.AjaxResult,;
import com.sltg.common.core.domain.AjaxResult;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,StringUtils
import com.sltg.common.utils.StringUtils,;
import com.sltg.common.utils.StringUtils;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,file
import com.sltg.common.utils.file,.
import com.sltg.common.utils.file.,FileUploadUtils
import com.sltg.common.utils.file.FileUploadUtils,;
import com.sltg.common.utils.file.FileUploadUtils;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,file
import com.sltg.common.utils.file,.
import com.sltg.common.utils.file.,FileUtils
import com.sltg.common.utils.file.FileUtils,;
import com.sltg.common.utils.file.FileUtils;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,framework
import com.sltg.framework,.
import com.sltg.framework.,config
import com.sltg.framework.config,.
import com.sltg.framework.config.,ServerConfig
import com.sltg.framework.config.ServerConfig,;
import com.sltg.framework.config.ServerConfig;,PARAM_END
public ,class
public class, 
public class ,CommonController
public class CommonController, 
public class CommonController ,{
public class CommonController {,PARAM_END
private ,static
private static, 
private static ,final
private static final, 
private static final ,Logger
private static final Logger, 
private static final Logger ,LOGGER
private static final Logger LOGGER, 
private static final Logger LOGGER ,=
private static final Logger LOGGER =, 
private static final Logger LOGGER = ,LoggerFactory
private static final Logger LOGGER = LoggerFactory,.
private static final Logger LOGGER = LoggerFactory.,getLogger
private static final Logger LOGGER = LoggerFactory.getLogger,(
private static final Logger LOGGER = LoggerFactory.getLogger(,CommonController
private static final Logger LOGGER = LoggerFactory.getLogger(CommonController,.
private static final Logger LOGGER = LoggerFactory.getLogger(CommonController.,class
private static final Logger LOGGER = LoggerFactory.getLogger(CommonController.class,)
private static final Logger LOGGER = LoggerFactory.getLogger(CommonController.class),;
private static final Logger LOGGER = LoggerFactory.getLogger(CommonController.class);,PARAM_END
private ,ServerConfig
private ServerConfig, 
private ServerConfig ,serverConfig
private ServerConfig serverConfig,;
private ServerConfig serverConfig;,PARAM_END
@GetMapping,(
@GetMapping(,"common/download"
@GetMapping("common/download",)
@GetMapping("common/download"),PARAM_END
public ,void
public void, 
public void ,fileDownload
public void fileDownload,(
public void fileDownload(,String
public void fileDownload(String, 
public void fileDownload(String ,fileName
public void fileDownload(String fileName,@COMMA_CHAR_REPLACE
public void fileDownload(String fileName@COMMA_CHAR_REPLACE, 
public void fileDownload(String fileName@COMMA_CHAR_REPLACE ,Boolean
public void fileDownload(String fileName@COMMA_CHAR_REPLACE Boolean, 
public void fileDownload(String fileName@COMMA_CHAR_REPLACE Boolean ,delete
public void fileDownload(String fileName@COMMA_CHAR_REPLACE Boolean delete,@COMMA_CHAR_REPLACE
public void fileDownload(String fileName@COMMA_CHAR_REPLACE Boolean delete@COMMA_CHAR_REPLACE, 
public void fileDownload(String fileName@COMMA_CHAR_REPLACE Boolean delete@COMMA_CHAR_REPLACE ,HttpServletResponse
public void fileDownload(String fileName@COMMA_CHAR_REPLACE Boolean delete@COMMA_CHAR_REPLACE HttpServletResponse, 
public void fileDownload(String fileName@COMMA_CHAR_REPLACE Boolean delete@COMMA_CHAR_REPLACE HttpServletResponse ,response
public void fileDownload(String fileName@COMMA_CHAR_REPLACE Boolean delete@COMMA_CHAR_REPLACE HttpServletResponse response,@COMMA_CHAR_REPLACE
public void fileDownload(String fileName@COMMA_CHAR_REPLACE Boolean delete@COMMA_CHAR_REPLACE HttpServletResponse response@COMMA_CHAR_REPLACE,PARAM_END
HttpServletRequest ,request
HttpServletRequest request,)
HttpServletRequest request), 
HttpServletRequest request) ,{
HttpServletRequest request) {,PARAM_END
try ,{
try {,PARAM_END
if ,(
if (,!
if (!,FileUtils
if (!FileUtils,.
if (!FileUtils.,checkAllowDownload
if (!FileUtils.checkAllowDownload,(
if (!FileUtils.checkAllowDownload(,fileName
if (!FileUtils.checkAllowDownload(fileName,)
if (!FileUtils.checkAllowDownload(fileName),)
if (!FileUtils.checkAllowDownload(fileName)), 
if (!FileUtils.checkAllowDownload(fileName)) ,{
if (!FileUtils.checkAllowDownload(fileName)) {,PARAM_END
throw ,new
throw new, 
throw new ,Exception
throw new Exception,(
throw new Exception(,StringUtils
throw new Exception(StringUtils,.
throw new Exception(StringUtils.,format
throw new Exception(StringUtils.format,(
throw new Exception(StringUtils.format(,"文件名称({})非法，不允许下载。 "
throw new Exception(StringUtils.format("文件名称({})非法，不允许下载。 ",@COMMA_CHAR_REPLACE
throw new Exception(StringUtils.format("文件名称({})非法，不允许下载。 "@COMMA_CHAR_REPLACE, 
throw new Exception(StringUtils.format("文件名称({})非法，不允许下载。 "@COMMA_CHAR_REPLACE ,fileName
throw new Exception(StringUtils.format("文件名称({})非法，不允许下载。 "@COMMA_CHAR_REPLACE fileName,)
throw new Exception(StringUtils.format("文件名称({})非法，不允许下载。 "@COMMA_CHAR_REPLACE fileName),)
throw new Exception(StringUtils.format("文件名称({})非法，不允许下载。 "@COMMA_CHAR_REPLACE fileName)),;
throw new Exception(StringUtils.format("文件名称({})非法，不允许下载。 "@COMMA_CHAR_REPLACE fileName));,PARAM_END
String ,realFileName
String realFileName, 
String realFileName ,=
String realFileName =, 
String realFileName = ,System
String realFileName = System,.
String realFileName = System.,currentTimeMillis
String realFileName = System.currentTimeMillis,(
String realFileName = System.currentTimeMillis(,)
String realFileName = System.currentTimeMillis(), 
String realFileName = System.currentTimeMillis() ,+
String realFileName = System.currentTimeMillis() +, 
String realFileName = System.currentTimeMillis() + ,fileName
String realFileName = System.currentTimeMillis() + fileName,.
String realFileName = System.currentTimeMillis() + fileName.,substring
String realFileName = System.currentTimeMillis() + fileName.substring,(
String realFileName = System.currentTimeMillis() + fileName.substring(,fileName
String realFileName = System.currentTimeMillis() + fileName.substring(fileName,.
String realFileName = System.currentTimeMillis() + fileName.substring(fileName.,indexOf
String realFileName = System.currentTimeMillis() + fileName.substring(fileName.indexOf,(
String realFileName = System.currentTimeMillis() + fileName.substring(fileName.indexOf(,"_"
String realFileName = System.currentTimeMillis() + fileName.substring(fileName.indexOf("_",)
String realFileName = System.currentTimeMillis() + fileName.substring(fileName.indexOf("_"), 
String realFileName = System.currentTimeMillis() + fileName.substring(fileName.indexOf("_") ,+
String realFileName = System.currentTimeMillis() + fileName.substring(fileName.indexOf("_") +, 
String realFileName = System.currentTimeMillis() + fileName.substring(fileName.indexOf("_") + ,1
String realFileName = System.currentTimeMillis() + fileName.substring(fileName.indexOf("_") + 1,)
String realFileName = System.currentTimeMillis() + fileName.substring(fileName.indexOf("_") + 1),;
String realFileName = System.currentTimeMillis() + fileName.substring(fileName.indexOf("_") + 1);,PARAM_END
String ,filePath
String filePath, 
String filePath ,=
String filePath =, 
String filePath = ,SltgSysConfig
String filePath = SltgSysConfig,.
String filePath = SltgSysConfig.,getDownloadPath
String filePath = SltgSysConfig.getDownloadPath,(
String filePath = SltgSysConfig.getDownloadPath(,)
String filePath = SltgSysConfig.getDownloadPath(), 
String filePath = SltgSysConfig.getDownloadPath() ,+
String filePath = SltgSysConfig.getDownloadPath() +, 
String filePath = SltgSysConfig.getDownloadPath() + ,fileName
String filePath = SltgSysConfig.getDownloadPath() + fileName,;
String filePath = SltgSysConfig.getDownloadPath() + fileName;,PARAM_END
response.,setContentType
response.setContentType,(
response.setContentType(,MediaType
response.setContentType(MediaType,.
